_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3560816,7 Carlton St,High Rise,13,_6a2cc3754CC1BC4,,2019-08-15,2019-09-05,0,No
3560817,1755 Jane St,High Rise,5,_6a2cc572BE80B1E,,2019-08-12,2019-08-12,0,No
3560818,120 Jameson Ave,High Rise,4,_6a2cc7FC7E7FAB0,,2019-08-12,2019-08-23,0,No
3560819,2255 Weston Rd,High Rise,5,_6a2cc89A622671A,,2019-08-12,2019-08-15,0,No
3560820,1328 Birchmount Rd,High Rise,21,_6a2ccC524762D74,,2019-08-14,2019-11-07,1,Yes
3560821,4200 Bathurst St,High Rise,6,_6a2ccEEC65DBE4A,,2019-08-14,2019-09-27,1,Yes
3560822,4689 Jane St,High Rise,7,_6a2cd7645EAD18D,,2019-08-12,2019-11-21,0,No
3560823,3434 Eglinton Ave E,High Rise,24,_6a2cd964463A7D6,,2019-08-13,2019-08-13,0,No
3560824,1100 King St W,High Rise,10,_6a2cdD42B2B0C74,,2019-08-13,2019-08-13,0,No
3560825,399 Markham Rd,High Rise,24,_6a2d10D8C65896E,,2019-08-13,2019-09-17,0,No
3560826,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,1,Yes
3560827,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,2,Yes
3560828,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,3,Yes
3560829,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,4,Yes
3560830,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,5,Yes
3560831,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,6,Yes
3560832,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,7,Yes
3560833,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,8,Yes
3560834,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,9,Yes
3560835,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,10,Yes
3560836,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,11,Yes
3560837,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,12,Yes
3560838,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,13,Yes
3560839,1350 York Mills Rd,High Rise,16,_6a2d10FB0DA637F,,2019-08-12,2020-01-17,14,Yes
3560840,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,1,Yes
3560841,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,2,Yes
3560842,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,3,Yes
3560843,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,4,Yes
3560844,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,5,Yes
3560845,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,6,Yes
3560846,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,7,Yes
3560847,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,8,Yes
3560848,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,9,Yes
3560849,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,10,Yes
3560850,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,11,Yes
3560851,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,12,Yes
3560852,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,13,Yes
3560853,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,14,Yes
3560854,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,15,Yes
3560855,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,16,Yes
3560856,1360 York Mills Rd,High Rise,16,_6a2d1B267A8605A,,2019-08-12,2020-01-24,17,Yes
3560857,200 Wellesley St E,High Rise,13,_6a2d4191112367C,,2019-08-12,2019-08-12,0,No
3560858,115 Omni Dr,High Rise,21,_6a2e47778D23002,,2019-09-05,2019-09-05,0,No
3560859,10 Boultbee Ave,High Rise,14,_6a2e4FB8566ECE3,,2019-08-13,2019-08-13,0,No
3560860,135 Tyndall Ave,High Rise,4,_6a2e5665F47FDF1,,2019-08-13,2019-08-26,0,No
3560861,682 Warden Ave,High Rise,20,_6a2e60E0AB09389,,2019-08-13,2019-08-13,0,No
3560862,18 Harbour St,High Rise,10,_6a2e8A5833614D5,,2019-08-19,2019-08-19,0,No
3560863,111 St Clair Ave W,High Rise,12,_6a2fbF2DA781856,,2019-08-22,2019-08-22,0,No
3560864,43 Goldwin Ave,High Rise,5,_6a2fc3118D3D8C7,,2019-08-14,2019-08-29,1,Yes
3560865,1 Rean Dr,High Rise,17,_6a2fc9BDC632A1F,,2019-08-14,2019-10-30,0,No
3560866,25 Montgomery Ave,High Rise,8,_6a2fd67C9314017,,2019-08-15,2019-08-15,0,No
3560867,279 Jarvis St,High Rise,13,_6a2fe878E5B43F5,,2019-08-19,2020-02-06,1,Yes
3560868,279 Jarvis St,High Rise,13,_6a2fe878E5B43F5,,2019-08-19,2020-02-06,2,Yes
3560869,279 Jarvis St,High Rise,13,_6a2fe878E5B43F5,,2019-08-19,2020-02-06,3,Yes
3560870,279 Jarvis St,High Rise,13,_6a2fe878E5B43F5,,2019-08-19,2020-02-06,4,Yes
3560871,279 Jarvis St,High Rise,13,_6a2fe878E5B43F5,,2019-08-19,2020-02-06,5,Yes
3560872,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,1,Yes
3560873,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,2,Yes
3560874,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,3,Yes
3560875,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,4,Yes
3560876,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,5,Yes
3560877,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,6,Yes
3560878,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,7,Yes
3560879,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,8,Yes
3560880,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,9,Yes
3560881,1540 Victoria Park Ave,High Rise,16,_6a301769EEA1E86,,2019-08-14,2019-11-06,10,Yes
3560882,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,1,Yes
3560883,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,2,Yes
3560884,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,3,Yes
3560885,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,4,Yes
3560886,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,5,Yes
3560887,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,6,Yes
3560888,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,7,Yes
3560889,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,8,Yes
3560890,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,9,Yes
3560891,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,10,Yes
3560892,52 Forest Manor Rd,High Rise,17,_6a304D308211B50,,2020-03-06,2022-07-06,11,Yes
3560893,2737 Keele St,High Rise,6,_6a313B09CE265FE,,2019-08-15,2019-08-20,0,No
3560894,4205 Lawrence Ave E,High Rise,25,_6a313EE80434C09,,2019-08-15,2019-08-15,0,No
3560895,51 The Chimneystack Rd,High Rise,7,_6a3145EA4964E25,,2019-08-21,2019-08-22,0,No
3560896,29 Church St,High Rise,5,_6a3148416EF4BCF,,2019-08-16,2019-09-05,0,No
3560897,26 Carluke Cres,High Rise,15,_6a3159393B825B8,,2019-08-20,2020-03-16,0,No
3560898,2365 Kennedy Rd,High Rise,22,_6a315E3399572B1,,2019-08-15,2019-08-19,0,No
3560899,18 Yorkville Ave,High Rise,11,_6a3161983654877,,2019-08-14,2019-11-13,1,Yes
3560900,18 Yorkville Ave,High Rise,11,_6a3161983654877,,2019-08-14,2019-11-13,2,Yes
3560901,18 Yorkville Ave,High Rise,11,_6a3161983654877,,2019-08-14,2019-11-13,3,Yes
3560902,18 Yorkville Ave,High Rise,11,_6a3161983654877,,2019-08-14,2019-11-13,4,Yes
3560903,21 Scollard St,High Rise,11,_6a3167CEC45C273,,2019-08-20,2019-11-13,1,Yes
3560904,21 Scollard St,High Rise,11,_6a3167CEC45C273,,2019-08-20,2019-11-13,2,Yes
3560905,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,1,Yes
3560906,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,2,Yes
3560907,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,3,Yes
3560908,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,4,Yes
3560909,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,5,Yes
3560910,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,6,Yes
3560911,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,7,Yes
3560912,10 Roanoke Rd,High Rise,16,_6a319F2B50823B3,,2019-08-14,2020-02-06,8,Yes
3560913,77 Charles St E,High Rise,13,_6a32c78B76B0F41,,2019-08-20,2019-08-29,0,No
3560914,2360 Birchmount Rd,High Rise,22,_6a32cD03CF1D735,,2019-08-19,2019-08-19,0,No
3560915,1005 King St W,High Rise,10,_6a32cE8BA087487,,2019-08-16,2019-08-16,0,No
3560916,1309 Wilson Ave,High Rise,6,_6a32d2923C4A243,,2019-09-05,2019-10-01,0,No
3560917,2460 Weston Rd,High Rise,5,_6a32dE580EB0F67,,2019-08-16,2019-08-21,0,No
3560918,11 Crescent Pl,High Rise,19,_6a32e1C1A0BF592,,2019-08-20,2019-08-23,0,No
3560919,12 Rockford Rd,High Rise,6,_6a334974CE98D44,,2019-07-19,2020-03-10,1,Yes
3560920,12 Rockford Rd,High Rise,6,_6a334974CE98D44,,2019-07-19,2020-03-10,2,Yes
3560921,12 Rockford Rd,High Rise,6,_6a334974CE98D44,,2019-07-19,2020-03-10,3,Yes
3560922,10 Humberline Dr,High Rise,1,_6a37312132F8AE3,,2019-08-20,2019-08-20,0,No
3560923,1 Canyon Ave,High Rise,6,_6a374038A833E36,,2019-08-20,2019-08-21,0,No
3560924,3460 Keele St,High Rise,6,_6a37413C85807BB,,2019-08-22,2019-09-24,1,Yes
3560925,2757 Kipling Ave,High Rise,1,_6a3749FA5CB9C09,,2019-10-10,2019-10-15,0,No
3560926,2739 Victoria Park Ave,High Rise,22,_6a374A95177C773,,2019-08-19,2019-08-19,0,No
3560927,123 Parkway Forest Dr,High Rise,17,_6a3752DC6B8E798,,2019-08-20,2019-10-17,0,No
3560928,55 Bleecker St,High Rise,13,_6a3754F7D498CB4,,2019-08-20,2019-08-21,0,No
3560929,121 Parkway Forest Dr,High Rise,17,_6a375B482F2AC29,,2019-08-19,2019-08-21,0,No
3560930,40 Falstaff Ave,High Rise,5,_6a375B9698C306A,,2019-08-19,2019-08-21,0,No
3560931,85 Wellesley St E,High Rise,13,_6a375E38E1B1E04,,2019-08-19,2019-08-21,0,No
3560932,27 Rean Dr,High Rise,17,_6a376F0EAF801BF,,2019-08-20,2019-09-20,0,No
3560933,1 Rean Dr,High Rise,17,_6a3777ADF434154,,2019-08-28,2019-08-28,0,No
3560934,117 McMahon Dr,High Rise,17,_6a377A8213CB941,,2019-08-28,2019-09-18,0,No
3560935,150 Sudbury St,High Rise,9,_6a3794E3C281D08,,2019-07-22,2019-08-19,0,No
3560936,43 Goldwin Ave,High Rise,5,_6a379556533C7E1,,2019-08-20,2019-08-20,0,No
3560937,29 South Station St,High Rise,5,_6a379B287C7C014,,2019-08-21,2019-08-21,0,No
3560938,20 Zachary Crt,High Rise,8,_6a37aB45545D0C9,,2019-08-22,2019-12-31,0,No
3560939,3010 Dufferin St,High Rise,8,_6a37b1723E7CBA7,,2019-08-21,2019-08-21,0,No
3560940,830 Lawrence Ave W,High Rise,8,_6a37bA182A23907,,2019-08-20,2019-09-24,1,Yes
3560941,800 Lawrence Ave W,High Rise,8,_6a37bD7BE57E1CA,,2019-08-20,2019-08-20,0,No
3560942,43 Goldwin Ave,High Rise,5,_6a38c03664C35B0,,2019-08-21,2019-08-29,0,No
3560943,43 Goldwin Ave,High Rise,5,_6a38c82B45C14B5,,2019-08-21,2019-08-29,0,No
3560944,801 King St W,High Rise,10,_6a38cB9F073D667,,2019-08-20,2019-11-06,0,No
3560945,150 Dan Leckie Way,High Rise,10,_6a38cF7E74ECFD7,,2019-08-22,2019-09-09,1,Yes
3560946,88 Bloor St E,High Rise,11,_6a38dCC35AB07FC,,2019-08-20,2019-09-03,0,No
3560947,100 Wingarden Crt,High Rise,23,_6a391593EC074E6,,2019-08-21,2019-08-30,0,No
3560948,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,1,Yes
3560949,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,2,Yes
3560950,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,3,Yes
3560951,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,4,Yes
3560952,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,5,Yes
3560953,1881 Jane St,High Rise,5,_6a39282D20DC785,,2019-08-22,2019-11-07,6,Yes
3560954,10 Maple Leaf Dr,High Rise,5,_6a3929F4160EE95,,2019-08-22,2019-10-29,1,Yes
3560955,10 Maple Leaf Dr,High Rise,5,_6a3929F4160EE95,,2019-08-22,2019-10-29,2,Yes
3560956,10 Maple Leaf Dr,High Rise,5,_6a3929F4160EE95,,2019-08-22,2019-10-29,3,Yes
3560957,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,1,Yes
3560958,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,2,Yes
3560959,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,3,Yes
3560960,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,4,Yes
3560961,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,5,Yes
3560962,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,6,Yes
3560963,1059 Don Mills Rd,High Rise,16,_6a3943ED07082FD,,2019-08-21,2019-10-24,7,Yes
3560964,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,1,Yes
3560965,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,2,Yes
3560966,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,3,Yes
3560967,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,4,Yes
3560968,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,5,Yes
3560969,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,6,Yes
3560970,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,7,Yes
3560971,365 Bay Mills Blvd,High Rise,22,_6a394C98D47E3F1,,2020-01-15,2020-05-21,8,Yes
3560972,55 Skymark Dr,High Rise,17,_6a395862073997C,,2019-08-22,2019-09-12,0,No
3560973,11 Bogert Ave,High Rise,18,_6a3a30E8149E7C9,,2019-08-23,2019-08-26,0,No
3560974,230 Oak St,High Rise,13,_6a3a41785FF20E1,,2019-08-20,2019-08-23,0,No
3560975,1048 Broadview Ave,High Rise,14,_6a3a48149E1E949,,2019-08-23,2019-10-23,0,No
3560976,51 Lower Simcoe St,High Rise,10,_6a3a4DE683CB234,,2019-08-21,2019-09-06,0,No
3560977,106 Goodwood Park Crt,High Rise,19,_6a3a6AAFB12AE3A,,2019-09-04,2019-10-10,1,Yes
3560978,25 The Esplanade,High Rise,10,_6a3a8FD268B3A29,,2019-08-29,2019-09-05,0,No
3560979,29 Church St,High Rise,5,_6a3a9BDBB8795FA,,2019-08-20,2019-08-21,0,No
3560980,205 Manning Ave,High Rise,11,_6a3a9FC31517473,,2019-08-23,2019-10-02,1,Yes
3560981,43 Goldwin Ave,High Rise,5,_6a3aa4BAD82D9BB,,2019-08-21,2019-08-21,0,No
3560982,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,1,Yes
3560983,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,2,Yes
3560984,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,3,Yes
3560985,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,4,Yes
3560986,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,5,Yes
3560987,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,6,Yes
3560988,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,7,Yes
3560989,170 Chalkfarm Dr,High Rise,7,_6a3aa82CE71A5F5,,2019-06-13,2019-10-08,8,Yes
3560990,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,1,Yes
3560991,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,2,Yes
3560992,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,3,Yes
3560993,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,4,Yes
3560994,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,5,Yes
3560995,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,6,Yes
3560996,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,7,Yes
3560997,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,8,Yes
3560998,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,9,Yes
3560999,180 Chalkfarm Dr,High Rise,7,_6a3aaF8895BAD07,,2019-06-13,2019-11-12,10,Yes
3561000,88 Bloor St E,High Rise,11,_6a3ac72827A24BD,,2019-08-21,2019-08-21,0,No
3561001,80 Dundas St E,High Rise,13,_6a3acA286CEEE4F,,2019-08-21,2019-08-21,0,No
3561002,2195 Jane St,High Rise,6,_6a3acB17D86C86A,,2019-09-05,2019-10-28,1,Yes
3561003,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,1,Yes
3561004,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,2,Yes
3561005,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,3,Yes
3561006,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,4,Yes
3561007,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,5,Yes
3561008,1286 Wilson Ave,High Rise,6,_6a3acC0ACE25626,,2019-08-22,2020-01-24,6,Yes
3561009,51 Trolley Cres,High Rise,13,_6a3bc31CD55710C,,2019-08-21,2019-10-04,1,Yes
3561010,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,1,Yes
3561011,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,2,Yes
3561012,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,3,Yes
3561013,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,4,Yes
3561014,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,5,Yes
3561015,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,6,Yes
3561016,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,7,Yes
3561017,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,8,Yes
3561018,2940 Jane St,High Rise,7,_6a3bc6EF3408894,,2019-08-21,2020-05-25,9,Yes
3561019,2900 Jane St,High Rise,7,_6a3bcD257ADBEAD,,2019-08-21,2019-11-19,1,Yes
3561020,2900 Jane St,High Rise,7,_6a3bcD257ADBEAD,,2019-08-21,2019-11-19,2,Yes
3561021,2900 Jane St,High Rise,7,_6a3bcD257ADBEAD,,2019-08-21,2019-11-19,3,Yes
3561022,2900 Jane St,High Rise,7,_6a3bcD257ADBEAD,,2019-08-21,2019-11-19,4,Yes
3561023,2900 Jane St,High Rise,7,_6a3bcD257ADBEAD,,2019-08-21,2019-11-19,5,Yes
3561024,2 Mascot Pl,High Rise,6,_6a3bdE1C041C6B0,,2019-08-22,2019-12-23,1,Yes
3561025,2 Mascot Pl,High Rise,6,_6a3bdE1C041C6B0,,2019-08-22,2019-12-23,2,Yes
3561026,3001 Finch Ave W,High Rise,7,_6a3bdFD949BCD09,,2019-08-28,2019-10-03,0,No
3561027,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,1,Yes
3561028,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,2,Yes
3561029,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,3,Yes
3561030,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,4,Yes
3561031,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,5,Yes
3561032,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,6,Yes
3561033,48 Grenoble Dr,High Rise,16,_6a3be8403BCC4A4,,2019-08-20,2019-10-11,7,Yes
3561034,35 Saranac Blvd,High Rise,8,_6a3be9F2786F3B5,,2019-08-27,2019-08-29,1,Yes
3561035,940 Caledonia Rd,High Rise,8,_6a3beDCC211A29D,,2019-08-13,2019-10-02,1,Yes
3561036,940 Caledonia Rd,High Rise,8,_6a3beDCC211A29D,,2019-08-13,2019-10-02,2,Yes
3561037,940 Caledonia Rd,High Rise,8,_6a3beDCC211A29D,,2019-08-13,2019-10-02,3,Yes
3561038,95 Thorncliffe Park Dr,High Rise,15,_6a3c215618CDE53,,2019-08-27,2020-01-16,0,No
3561039,30 Meadowglen Pl,High Rise,24,_6a3c33AA8F61EAB,,2019-09-05,2020-07-20,1,Yes
3561040,30 Meadowglen Pl,High Rise,24,_6a3c33AA8F61EAB,,2019-09-05,2020-07-20,2,Yes
3561041,30 Meadowglen Pl,High Rise,24,_6a3c33AA8F61EAB,,2019-09-05,2020-07-20,3,Yes
3561042,43 Goldwin Ave,High Rise,5,_6a3c4B8D244FD30,,2019-08-22,2019-08-22,0,No
3561043,1101 Leslie St,High Rise,16,_6a3d36A2B97E840,,2019-08-21,2019-09-05,0,No
3561044,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,1,Yes
3561045,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,2,Yes
3561046,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,3,Yes
3561047,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,4,Yes
3561048,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,5,Yes
3561049,45 Wynford Heights Cres,High Rise,16,_6a3d3A146285F3C,,2019-08-21,2019-11-26,6,Yes
3561050,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,1,Yes
3561051,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,2,Yes
3561052,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,3,Yes
3561053,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,4,Yes
3561054,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,5,Yes
3561055,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,6,Yes
3561056,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,7,Yes
3561057,10 Edgecliff Golfway,High Rise,16,_6a3d3BB84F7E07E,,2019-08-22,2019-12-12,8,Yes
3561058,31 Alexander St,High Rise,13,_6a3d44DF45586F8,,2019-08-23,2019-08-23,0,No
3561059,61 Pelham Park Gdns,High Rise,9,_6a3d49FC9D8DAAA,,2019-08-23,2019-08-26,0,No
3561060,55 Skymark Dr,High Rise,17,_6a3d9220DFAE81E,,2019-08-26,2019-09-19,0,No
3561061,77 Maitland Pl,High Rise,13,_6a3dbFF7E9F2E48,,2019-08-23,2019-08-23,0,No
3561062,77 Maitland Pl,High Rise,13,_6a3dc616CB74D3E,,2019-08-23,2019-08-23,0,No
3561063,2353 Dufferin St,High Rise,12,_6a41b63347E438F,,2019-08-26,2019-09-24,0,No
3561064,1 Church St,High Rise,10,_6a41c5DC045AC52,,2019-08-29,2019-09-06,0,No
3561065,77 Howard St,High Rise,13,_6a41d1263C8813A,,2019-08-26,2020-01-02,0,No
3561066,250 Heath St W,High Rise,12,_6a41d63C73B4D4E,,2019-08-26,2019-10-23,1,Yes
3561067,250 Heath St W,High Rise,12,_6a41d63C73B4D4E,,2019-08-26,2019-10-23,2,Yes
