_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3584197,82 Winston Park Blvd,Low Rise,6,_6dcf42812310CBF,,2021-05-07,2021-07-02,1,Yes
3584198,72 Winston Park Blvd,Low Rise,6,_6dcf42EB20840A8,,2021-05-07,2023-02-14,1,Yes
3584199,72 Winston Park Blvd,Low Rise,6,_6dcf42EB20840A8,,2021-05-07,2023-02-14,2,Yes
3584200,78 Winston Park Blvd,Low Rise,6,_6dcf47596421D51,,2021-05-07,2021-09-14,1,Yes
3584201,78 Winston Park Blvd,Low Rise,6,_6dcf47596421D51,,2021-05-07,2021-09-14,2,Yes
3584202,78 Winston Park Blvd,Low Rise,6,_6dcf47596421D51,,2021-05-07,2021-09-14,3,Yes
3584203,78 Winston Park Blvd,Low Rise,6,_6dcf47596421D51,,2021-05-07,2021-09-14,4,Yes
3584204,80 Winston Park Blvd,Low Rise,6,_6dcf48A783D7F94,,2021-05-07,2021-09-24,1,Yes
3584205,80 Winston Park Blvd,Low Rise,6,_6dcf48A783D7F94,,2021-05-07,2021-09-24,2,Yes
3584206,80 Winston Park Blvd,Low Rise,6,_6dcf48A783D7F94,,2021-05-07,2021-09-24,3,Yes
3584207,80 Winston Park Blvd,Low Rise,6,_6dcf48A783D7F94,,2021-05-07,2021-09-24,4,Yes
3584208,80 Winston Park Blvd,Low Rise,6,_6dcf48A783D7F94,,2021-05-07,2021-09-24,5,Yes
3584209,55 Triller Ave,High Rise,4,_6dcf5A0B0625DD2,,2021-04-23,2021-08-10,0,No
3584210,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,1,Yes
3584211,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,2,Yes
3584212,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,3,Yes
3584213,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,4,Yes
3584214,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,5,Yes
3584215,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,6,Yes
3584216,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,7,Yes
3584217,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,8,Yes
3584218,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,9,Yes
3584219,1 Lee Centre Dr,High Rise,24,_6dd2b891443F65B,,2021-04-21,2023-02-28,10,Yes
3584220,18 Kenneth Ave,Rooming House,4,_6dd33A04486579D,,2021-05-21,2021-05-21,0,No
3584221,55 Smooth Rose Crt,High Rise,17,_6dd3484432B8D1A,,2021-04-27,2021-06-11,1,Yes
3584222,55 Smooth Rose Crt,High Rise,17,_6dd3484432B8D1A,,2021-04-27,2021-06-11,2,Yes
3584223,393 Symington Ave,Low Rise,9,_6dd348731CE779F,,2021-04-26,2021-12-21,0,No
3584224,185 Yorkland Blvd,Hotel & Motel,17,_6dd34C2EDD8609B,,2021-04-26,2021-04-29,0,No
3584225,8 Godstone Rd,High Rise,17,_6dd34C7F469E605,,2021-04-26,2021-04-29,0,No
3584226,65 Silver Springs Blvd,High Rise,22,_6dd34D77F8EF9EF,,2021-04-27,2021-05-27,1,Yes
3584227,65 Silver Springs Blvd,High Rise,22,_6dd34D77F8EF9EF,,2021-04-27,2021-05-27,2,Yes
3584228,1900 Sheppard Ave E,High Rise,17,_6dd34E1ED85C265,,2021-04-26,2021-05-06,0,No
3584229,14 William Morgan Dr,High Rise,15,_6dd3aA13C9D39C8,,2022-02-01,2022-09-07,1,Yes
3584230,14 William Morgan Dr,High Rise,15,_6dd3aA13C9D39C8,,2022-02-01,2022-09-07,2,Yes
3584231,14 William Morgan Dr,High Rise,15,_6dd3aA13C9D39C8,,2022-02-01,2022-09-07,3,Yes
3584232,14 William Morgan Dr,High Rise,15,_6dd3aA13C9D39C8,,2022-02-01,2022-09-07,4,Yes
3584233,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,1,Yes
3584234,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,2,Yes
3584235,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,3,Yes
3584236,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,4,Yes
3584237,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,5,Yes
3584238,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,6,Yes
3584239,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,7,Yes
3584240,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,8,Yes
3584241,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,9,Yes
3584242,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,10,Yes
3584243,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,11,Yes
3584244,43 Thorncliffe Park Dr,High Rise,15,_6dd3b423B999AB1,,2021-05-05,2022-01-04,12,Yes
3584245,365 Eglinton Ave E,High Rise,15,_6dd3b9A741DBD5A,,2021-06-09,2022-03-04,1,Yes
3584246,365 Eglinton Ave E,High Rise,15,_6dd3b9A741DBD5A,,2021-06-09,2022-03-04,2,Yes
3584247,365 Eglinton Ave E,High Rise,15,_6dd3b9A741DBD5A,,2021-06-09,2022-03-04,3,Yes
3584248,440 Eglinton Ave E,High Rise,15,_6dd3bC8466B8BB8,,2021-05-05,2022-03-04,1,Yes
3584249,440 Eglinton Ave E,High Rise,15,_6dd3bC8466B8BB8,,2021-05-05,2022-03-04,2,Yes
3584250,440 Eglinton Ave E,High Rise,15,_6dd3bC8466B8BB8,,2021-05-05,2022-03-04,3,Yes
3584251,440 Eglinton Ave E,High Rise,15,_6dd3bC8466B8BB8,,2021-05-05,2022-03-04,4,Yes
3584252,440 Eglinton Ave E,High Rise,15,_6dd3bC8466B8BB8,,2021-05-05,2022-03-04,5,Yes
3584253,95 Bicknell Ave,Group Home (VO),5,_6dd3c07DD38D5EF,,2021-05-27,2021-05-27,0,No
3584254,801 Mount Pleasant Rd,High Rise,15,_6dd3c985CEAD76A,,2021-05-05,2022-01-24,1,Yes
3584255,9 Bogert Ave,High Rise,18,_6dd4b2D0C496BC8,,2021-04-26,2022-04-05,1,Yes
3584256,9 Bogert Ave,High Rise,18,_6dd4b2D0C496BC8,,2021-04-26,2022-04-05,2,Yes
3584257,4 Avenue Rd,High Rise,11,_6dd4b6CE2BFF302,,2021-04-27,2021-05-20,0,No
3584258,266 St George St,Rooming House,11,_6dd4d2277FAFF8F,,2021-04-27,2021-05-19,0,No
3584259,20 New Heights Crt,High Rise,8,_6dd4d81713A1A87,,2021-04-27,2021-04-28,0,No
3584260,99 Cameron St,High Rise,10,_6dd4d91D1CCE637,,2021-04-28,2021-06-03,1,Yes
3584261,964 Bathurst St,Rooming House,11,_6dd4dBD407F1D67,,2021-04-28,2021-05-12,1,Yes
3584262,964 Bathurst St,Rooming House,11,_6dd4dBD407F1D67,,2021-04-28,2021-05-12,2,Yes
