_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2266399,4152903,2017.0,,1940.0,PRIVATE,4,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,5.0,3.0,4.0,,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,,S0430,43.6476402456,-79.4906914801,305535.289,4833965.806
2266400,4155237,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4.0,4.0,3.0,3.0,3.0,3.0,,3.0,,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,,W0329,43.635482222700006,-79.4882224103,305734.649,4832615.13
2266401,4155226,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,3.0,,3.0,,3.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,,W0329,43.63456194649999,-79.4922664925,305408.295,4832512.859
2266402,4155410,2017.0,,1962.0,PRIVATE,2,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3.0,3.0,4.0,3.0,4.0,4.0,,2.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,,W0221,43.684052754700005,-79.565694704,299487.999,4838013.037
2266403,4152898,2020.0,,1958.0,PRIVATE,4,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,S0430,43.641442247600004,-79.4724449481,307007.54600000003,4833277.515
2266404,4155482,2017.0,,1951.0,PRIVATE,3,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,3.0,5.0,,5.0,,4.0,5.0,5.0,3.0,4.0,4.0,4.0,,5.0,4.0,,W0336,43.6160393846,-79.4896739143,305617.776,4830455.127
2266405,4155375,2017.0,,1965.0,PRIVATE,2,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,,W0233,43.6275335945,-79.5780494311,298485.94899999996,4831734.901000001
2266406,4153569,2017.0,,1988.0,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,,1.0,2.0,3.0,3.0,2.0,4.0,,4.0,,3.0,S1329,43.6582200015,-79.3706451728,315217.87,4835149.078
2266407,4152911,2017.0,,1960.0,PRIVATE,4,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,2.0,,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,,,S0430,43.6505719581,-79.4757413114,306741.31899999996,4834291.715
2266408,4820405,2022.0,,1950.0,PRIVATE,3,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,W0336,43.6117781476,-79.4895548881,305627.437,4829981.725
2266409,4152933,2017.0,,1973.0,PRIVATE,4,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,,S0428,43.656888484,-79.465364295,307575.602,4834997.723
2266410,4155256,2017.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,,2.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0327,43.638204565900004,-79.49316808350001,305335.532,4832917.528
2266411,4152941,2017.0,,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,3.0,,,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,S0429,43.65971467560001,-79.4617878892,307866.434,4835307.806
2266412,4281929,2017.0,,1952.0,PRIVATE,2,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,2.0,,4.0,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.661751009,-79.521325389,303064.075,4835534.621
2266413,4848750,2021.0,,1954.0,PRIVATE,19,Beaches-East York,996 O'CONNOR DR,3,18,2022-12-28,71,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,4.0,3.0,4.0,,4.0,,4.0,3.0,3.0,5.0,3.0,4.0,3.0,,4.0,3.0,,S1921,43.709175201899995,-79.3105723901,320050.275,4840819.291
2266414,4152620,2017.0,,1956.0,PRIVATE,20,Scarborough Southwest,68 HARRIS PARK DR,3,11,2022-12-28,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,2.0,3.0,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,4.0,E2021,43.722488216,-79.2987114556,321002.536,4842300.513
2266415,4152690,2017.0,,1958.0,PRIVATE,20,Scarborough Southwest,709 KENNEDY RD,6,79,2022-12-28,76,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,,E2023,43.728137438699996,-79.2656668508,323663.167,4842935.041
2266416,4152691,2018.0,,1958.0,PRIVATE,20,Scarborough Southwest,711 KENNEDY RD,6,79,2022-12-28,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,3.0,4.0,,4.0,4.0,,2.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,,E2023,43.728707711400006,-79.26590545090001,323643.766,4842998.342
2266417,4152672,2017.0,,1957.0,PRIVATE,20,Scarborough Southwest,712 KENNEDY RD,4,49,2022-12-28,84,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,E2023,43.728810663999994,-79.2674784317,323517.01,4843009.424
2266418,4152673,2017.0,,1965.0,PRIVATE,20,Scarborough Southwest,720 KENNEDY RD,14,186,2022-12-28,78,Evaluation needs to be conducted in 2 years,19,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,,E2023,43.7295838093,-79.26735641350001,323526.601,4843095.346
2266419,4155489,2017.0,,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2022-12-28,81,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,,3.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,3.0,,4.0,3.0,,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026000001
2266420,4285401,2018.0,,1952.0,PRIVATE,20,Scarborough Southwest,6 FOLCROFT AVE,3,13,2022-12-28,75,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,3.0,3.0,4.0,,4.0,,3.0,4.0,4.0,5.0,3.0,4.0,3.0,,5.0,4.0,,E2035,43.700957687,-79.251492552,324829.314,4839934.355
2266421,4155272,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2022-12-28,83,Evaluation needs to be conducted in 2 years,16,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,,W0327,43.6397937003,-79.4903246449,305564.983,4833094.093
2266422,4152629,2017.0,,1955.0,PRIVATE,21,Scarborough Centre,8 RANNOCK ST,4,33,2022-12-28,86,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,5.0,4.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,E2131,43.7287170868,-79.3000634846,320891.929,4842992.248
2266423,4155309,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,22 BURNHAMTHORPE RD,5,42,2022-12-28,73,Evaluation needs to be conducted in 2 years,18,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,,W0321,43.6482360213,-79.53035175859999,302335.75800000003,4834032.463
2266424,4155308,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,24 BURNHAMTHORPE RD,5,42,2022-12-28,69,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,3.0,3.0,4.0,,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,W0321,43.648430311700004,-79.5307642021,302302.494,4834054.061000001
